# M4 golden-master diff summary
# generated:  9 Jun 2026 20:48:20
# tier_filter: full
# rows_compared: 8324
# format: <STATUS>  <tier>  <filetype>  <consolidated_relpath>  <details>
#
MISSING_PREDECESSOR     full    dta     data/cleaned/cde/staffdemo/staffdemo_2020_clean.dta  neither side exists; cons=/home/research/ca_ed_lab/projects/common_core_va/consolidated/data/cleaned/cde/staffdemo/staffdemo_2020_clean.dta
MISSING_CONSOLIDATED    full    dta     data/cleaned/cde/staffschoolfte/staffschoolfte_2013_clean.dta  cons not found: /home/research/ca_ed_lab/projects/common_core_va/consolidated/data/cleaned/cde/staffschoolfte/staffschoolfte_2013_clean.dta
MISSING_CONSOLIDATED    full    dta     data/cleaned/cde/staffschoolfte/staffschoolfte_2014_clean.dta  cons not found: /home/research/ca_ed_lab/projects/common_core_va/consolidated/data/cleaned/cde/staffschoolfte/staffschoolfte_2014_clean.dta
PASS                    full    dta     data/cleaned/cde/staffschoolfte/staffschoolfte_2015_clean.dta  cf _all: 0 cumulative diffs
PASS                    full    dta     data/cleaned/cde/staffschoolfte/staffschoolfte_2016_clean.dta  cf _all: 0 cumulative diffs
PASS                    full    dta     data/cleaned/cde/staffschoolfte/staffschoolfte_2017_clean.dta  cf _all: 0 cumulative diffs
PASS                    full    dta     data/cleaned/cde/staffschoolfte/staffschoolfte_2018_clean.dta  cf _all: 0 cumulative diffs
MISSING_CONSOLIDATED    full    dta     data/cleaned/cde/staffschoolfte/staffschoolfte_2019_clean.dta  cons not found: /home/research/ca_ed_lab/projects/common_core_va/consolidated/data/cleaned/cde/staffschoolfte/staffschoolfte_2019_clean.dta
MISSING_PREDECESSOR     full    dta     data/cleaned/cde/staffschoolfte/staffschoolfte_2020_clean.dta  neither side exists; cons=/home/research/ca_ed_lab/projects/common_core_va/consolidated/data/cleaned/cde/staffschoolfte/staffschoolfte_2020_clean.dta
READ_ERROR              full    dta     data/cleaned/nces/pubschls_locale.dta  rc=9 on cf _all
READ_ERROR              full    dta     data/cleaned/sch_char.dta  rc=9 on cf _all
MISSING_PREDECESSOR     full    dta     data/cleaned/sch_char_2013.dta  neither side exists; cons=/home/research/ca_ed_lab/projects/common_core_va/consolidated/data/cleaned/sch_char_2013.dta
MISSING_PREDECESSOR     full    dta     data/cleaned/sch_char_2014.dta  neither side exists; cons=/home/research/ca_ed_lab/projects/common_core_va/consolidated/data/cleaned/sch_char_2014.dta
PASS                    full    dta     data/cleaned/sch_char_2015.dta  cf _all: 0 cumulative diffs
PASS                    full    dta     data/cleaned/sch_char_2016.dta  cf _all: 0 cumulative diffs
